item_id,timestamp,target
P,2022-03-01 00:00:00,1
P,2022-04-01 00:00:00,1
P,2022-05-01 00:00:00,1
P,2022-06-01 00:00:00,1
P,2022-07-01 00:00:00,2
P,2022-08-01 00:00:00,3
P,2022-09-01 00:00:00,3
P,2022-10-01 00:00:00,3
P,2022-11-01 00:00:00,5
P,2022-12-01 00:00:00,7
P,2023-01-01 00:00:00,7
P,2023-02-01 00:00:00,7
P,2023-03-01 00:00:00,10
P,2023-04-01 00:00:00,11
P,2023-05-01 00:00:00,11
P,2023-06-01 00:00:00,16
P,2023-07-01 00:00:00,18
P,2023-08-01 00:00:00,19
P,2023-09-01 00:00:00,21
P,2023-10-01 00:00:00,22
P,2023-11-01 00:00:00,24
P,2023-12-01 00:00:00,26
P,2024-01-01 00:00:00,26
P,2024-02-01 00:00:00,27
P,2024-03-01 00:00:00,28
P,2024-04-01 00:00:00,31
P,2024-05-01 00:00:00,32
P,2024-06-01 00:00:00,37
P,2024-07-01 00:00:00,38
P,2024-08-01 00:00:00,39
P,2024-09-01 00:00:00,39
P,2024-10-01 00:00:00,39
P,2024-11-01 00:00:00,42
P,2024-12-01 00:00:00,44
P,2025-01-01 00:00:00,47
P,2025-02-01 00:00:00,47
P,2025-03-01 00:00:00,47
P,2025-04-01 00:00:00,49
P,2025-05-01 00:00:00,51
P,2025-06-01 00:00:00,55
P,2025-07-01 00:00:00,56
P,2025-08-01 00:00:00,61
P,2025-09-01 00:00:00,62
P,2025-10-01 00:00:00,62
P,2025-11-01 00:00:00,64
P,2025-12-01 00:00:00,65
P,2026-01-01 00:00:00,66
